"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate sobre"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate sobre"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate sobre recolección"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate sobre"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate sobre recolección"
"Priority Mail Hold For Pickup","Priority Mail recolección"
"Priority Mail International","Correo Prioritario Internacional"
"Priority Mail International DVD Flat Rate priced box","Tarifa plana internacional para Caja DVD en Correo Prioritario"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate sobre"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate sobre"
"Priority Mail International Large Flat Rate Box","Tarifa plana internacional para Caja Grande en Correo Prioritario"
"Priority Mail International Large Video Flat Rate priced box","Prioridad de la tarifa única de correo internacional con Caja de Vídeo Grande"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate sobre"
"Priority Mail International Medium Flat Rate Box","Tarifa plana internacional para Caja Mediana en Correo Prioritario"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate sobre"
"Priority Mail International Small Flat Rate Box","Tarifa plana internacional para Caja Pequeña en Correo Prioritario"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate sobre"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate sobre"
"Priority Mail Large Flat Rate Box","Tarifa plana para Caja Grande en Correo Prioritario"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box recolección"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate sobre"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate sobre recolección"
"Priority Mail Medium Flat Rate Box","Tarifa plana para Caja Mediana en Correo Prioritario"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box recolección"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate sobre"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate sobre recolección"
"Priority Mail Regional Rate Box A","Tarifa regional para Caja A en Correo Prioritario"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A recolección"
"Priority Mail Regional Rate Box B","Tarifa regional para Caja B en Correo Prioritario"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B recolección"
"Priority Mail Regional Rate Box C","Tarifa regional para Caja C en Correo Prioritario"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C recolección"
"Priority Mail Small Flat Rate Box","Tarifa plana para Caja Pequeña en Correo Prioritario"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box recolección"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate sobre"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate sobre recolección"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate sobre"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate sobre recolección"
"Priority Overnight","Prioridad durante la noche"
"Rectangular","Rectangular"
"Regular","Normal"
"Regular Pickup","Recogida ordinaria"
"Request Courier","Solicitar servicio de mensajería"
"Required","Requerido"
"Required for negotiated rates; 6-character UPS.","Requerido para tarifas negociadas; código UPS de 6 caracteres."
"Residential","Residencial"
"Residential Delivery","Entrega residencial"
"Response is in the wrong format","La respuesta está en el formato incorrecto"
"Retail Ground","Tierra de Retail"
"Return","Devolución"
"Same day","El mismo día"
"Sample","Muestra"
"Sandbox Mode","Modo de prueba"
"Secure Gateway URL","URL de pasarela segura"
"Secureline","Línea Segura"
"Sender","Remitente"
"Service type does not match","El tipo de servicio no coincide"
"Shipper Number","Número del transportista"
"Shipping Confirm REST URL","Shipping Confirm REST URL"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Signature Required","Firma requerida"
"Size","Tamaño"
"Small Express Box","Caja pequeña urgente"
"Smart Post","Envío Inteligente"
"Sort Order","Orden de aparición"
"Specific","Específico"
"Sprintline","Línea de sprint"
"Standard Overnight","Estándar de un día para otro"
"Station","Central"
"Subtotal","Subtotal"
"The field is applicable if the Smart Post method is selected.","El campo es aplicable si se selecciona el método de publicación inteligente."
"There is no items in this order","No hay artículos en este pedido"
"The response is in wrong format.","La respuesta tiene un formato incorrecto."
"Title","Título"
"To obtain your Client ID/Secret you have to:<br />- Register to <a href='https://developer.ups.com' target=_blank>https://developer.ups.com</a><br />- Go to My Apps -> Add Apps and fill all data<br />- Add Rating, Authorization, Shipping, TimeInTransit, Tracking products to the app","To obtain your Client ID/Secret you have to:<br />- Register to <a href='https://developer.ups.com' target=_blank>https://developer.ups.com</a><br />- Go to My Apps -> Add Apps and fill all data<br />- Add Rating, Authorization, Shipping, TimeInTransit, Tracking products to the app"
"Tracking REST URL","Tracking REST URL"
"Unable to retrieve tracking","No se puede recuperar el seguimiento."
"United Parcel Service REST","United Parcel Service REST"
"Unknown error","Error desconocido"
"UPS","UPS"
"UPS Expedited","UPS Acelerada"
"UPS Express","UPS Urgente"
"UPS Express Box","UPS Urgente Box"
"UPS Express Early A.M.","UPS Urgente Primera hora de la mañana"
"UPS Express Plus","UPS Urgente Plus"
"UPS Ground","UPS Vía terrestre"
"UPS Letter Envelope","UPS Sobre de carta"
"UPS Next Day Air","UPS Aéreo Entrega al día siguiente"
"UPS Next Day Air Early A.M.","UPS Aéreo Entrega al día siguiente a la primera hora de la mañana"
"UPS Next Day Air Saver","UPS Aéreo Entrega al día siguiente garantizada"
"UPS Saver","UPS garantizada"
"UPS Second Day Air","UPS Aéreo Entrega al final del segundo día laboral"
"UPS Second Day Air A.M.","UPS Aéreo Entrega en la mañana del segundo día laboral"
"UPS Standard","UPS Estándar"
"UPS Three-Day Select","UPS Entrega al final del tercer día laboral"
"UPS Today Dedicated Courrier","UPS Entrega en el día por mensajería dedicada"
"UPS Today Express","UPS Entrega en el día urgente"
"UPS Today Express Saver","UPS Entrega en el día urgente y garantizada"
"UPS Today Intercity","UPS Entrega en el día interurbana"
"UPS Today Standard","UPS Entrega en el día estándar"
"UPS Tube","UPS Tubo"
"UPS Type","UPS Tipo"
"UPS Worldwide 10 kilo","UPS Internacional 10 kilos"
"UPS Worldwide 25 kilo","UPS Internacional 25 kilos"
"UPS Worldwide Expedited","UPS Internacional expedido"
"UPS Worldwide Express","UPS Internacional Express"
"UPS Worldwide Express Plus","UPS Internacional Express Plus"
"UPS Worldwide Express PlusSM","UPS Internacional Express PlusSM"
"UPS Worldwide Saver","UPS Internacional garantizada"
"User ID","ID de Usuario"
"USPS","Servicio Postal de los EE. UU."
"USPS GXG Envelopes","USPS GXG Sobres"
"Variable","Variable"
"Weight Unit","Unidad de peso"
"Width","Ancho"
"Worldwide Expedited","Internacional Expedido"
"Worldwide Express","Internacional Urgente"
"Worldwide Express Letter","Internacional Urgente Carta"
"Worldwide Express Plus","Internacional Urgente Plus"
"Worldwide Express Plus Letter","Internacional Urgente Plus Carta"
"Worldwide Express Saver","Internacional Urgente garantizada"
"Wrong Content Type.","Tipo de contenido incorrecto."
"Wrong Region.","Región Incorrecta."
"Yes","Sí"
"Your Packaging","Tu embalaje"
"Zero shipping charge for '%s'","Carga de envío cero para '%s'"
