"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Le regole del prezzo del carrello basato sull'attributo ""%s"" sono state disabilitate."
"%s Coupon(s) have been generated","I Coupon %s sono stati generati"
"Actions","Azioni"
"Rule Information","Informazioni Regola"
"Rule Name","Nome Regola"
"Rule is not defined","La regola non è definita"
"Sales Discount Amount","Importo Sconto Vendite"
"Sales Subtotal Amount","Importo Totale Parziale Vendite"
"Sales Total Amount","Importo Totale Vendite"
"Save and Continue Edit","Salva e continua a modificare"
"Shipping Country","Paese Di Spedizione"
"Shipping Method","Metodo Di Spedizione"
"Shipping Postcode","Postcode Di Spedizione"
"Shipping Region","Regione Di Spedizione"
"Shipping State/Province","Stato Di Spedizione/Provincia"
"Shopping Cart Price Rule","Regola Prezzo Carrello"
"Shopping Cart Price Rules","Regole Prezzo Carrello"
"Special Price","Prezzo Speciale"
"Specific Coupon","Coupon Specifico"
"Status","Stato"
"Stop Further Rules Processing","Ferma L'Elaborazione Di Ultime Regole"
"Store View Specific Labels","Etichette Specifiche Visualizzazione Negozio"
"Subtotal","Subtotale"
"Subtotal Amount","Importo Subtotale"
"The rule has been deleted.","La regola è stata eliminata."
"The rule has been saved.","La regola è stata salvata."
"This rule no longer exists.","Questa regola non esiste più."
"Times Used","Volte Usate"
"To Date","A Data"
"To Fixed Value","Al Valore Fisso"
"To Percentage","In Percentuale"
"Total","Totale"
"Total Amount","Importo Totale"
"Total Items Quantity","Quantità Totale Oggetti"
"Total Weight","Peso Totale"
"Unable to create requested Coupon Qty. Please check settings and try again.","Impossibile creare la Qtà Coupon richiesta. Controlla le impostazioni e riprova."
"Unable to find a rule to delete.","Impossibile trovare una regola da eliminare."
"Update prices using the following information","Aggiorna i prezzi utilizzando le seguenti informazioni"
"Update product's %s %s: %s","Aggiorna il prodotto %s %s: %s"
"Update the Product","Aggiorna il prodotto"
"Usage limit enforced for logged in customers only","Limite di utilizzo applicato solo per i clienti registrati"
"Use Auto Generation","Usa Generazione Automatica"
"Used","Usato"
"Uses per Coupon","Usi per Coupon"
"Uses per Customer","Usi per cliente"
"Website","Sito"
"Websites","Siti Web"
"Wrong rule specified.","Regola specificata errata."
"Yes","Sì"
"total amount","importo totale"
"total quantity","quantità totale"
