" Copy"," Αντιγραφή"
"No subscribers selected.","Δεν έχουν επιλεγεί συνδρομητές."
"Not Activated","Δεν Ενεργοποιήθηκε"
"Not Sent","Δεν αποστάλθηκε"
"Pause","Παύση"
"Paused","Σε παύση"
"Please enter a valid email address.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email."
"Please enter new template name","Παρακαλούμε εισάγετε νέο όνομα Προτύπου(Template)"
"Please refer to exeption.log","Παρακαλώ αναφέρετε στο exeption.log"
"Please select subscriber(s)","Παρακαλούμε επιλέξτε συνδρομητή(ες)"
"Preview","Προεπισκόπηση"
"Preview Template","Προεπισκόπηση Προτύπου"
"Processed","Επεξεργασία"
"Queue Date Start","Ουρά ημερομηνίας έναρξης"
"Queue Finish","Τέλος Ουράς"
"Queue Information","Πληροφορίες ουράς"
"Queue Newsletter...","Ουρά Ενημερωτικού Δελτίου..."
"Queue Start","Αρχή Ουράς"
"Queue Subject","Θέμα Ουράς"
"Recipients","Παραλήπτες"
"Reset","Επαναφορά"
"Resume","Συνέχιση"
"Return HTML Version","Επιστροφή έκδοσης HTML"
"Save As","Αποθήκευση ως"
"Save Newsletter","Αποθήκευση ενημερωτικού δελτίου"
"Save Template","Αποθήκευση προτύπου"
"Save and Resume","Αποθήκευση και Επιστροφή"
"Selected problem subscribers have been unsubscribed.","Επιλεγμένοι συνδρομητές προβλήματος έχουν αποσυνδεθεί."
"Selected problems have been deleted.","Επιλεγμένα προβλήματα έχουν διαγραφεί."
"Sender","Αποστολέας"
"Sender Email","Email αποστολέα"
"Sender Name","Όνομα αποστολέα"
"Sending","Γίνεται αποστολή"
"Sent","Απεστάλη"
"Sign Up for Our Newsletter:","Εγγραφή στο Ενημερωτικό Δελτίο:"
"Sign up for our newsletter","Εγγραφτείτε στο Δελτίο Νέων μας"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Λυπούμαστε, αλλά ο διαχειριστής αρνήθηκε την εγγραφή για τους επισκέπτες. Παρακαλούμε <a href=""%s"">εγγραφείτε</a>."
"Start","Έναρξη"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Subject","Θέμα"
"Submit","Υποβολή"
"Subscribe","Εγγραφή"
"Subscribed","Εγγραφή"
"Subscriber","Συνδρομητής"
"Subscribers","Συνδρομητές"
"Subscribers From","Συνδρομητές από"
"Subscription Options","Επιλογές συνδρομής"
"Success Email Sender","Αποστολέας Επιτυχούς Email"
"Success Email Template","Πρότυπο Επιτυχούς Email"
"Template Content","Περιεχόμενο Προτύπου"
"Template Information","Πληροφορίες Πρότυπου"
"Template Name","Όνομα προτύπου"
"Template Styles","Στυλ προτύπου"
"Template Subject","Θέμα Προτύπου"
"Template Type","Τύπος προτύπου"
"Thank you for your subscription.","Σας ευχαριστούμε για την εγγραφή σας."
"The subscription has been removed.","Η συνδρομή έχει αφαιρεθεί."
"The subscription has been saved.","Η συνδρομή έχει αποθηκευτεί."
"There was a problem with the subscription.","Υπήρξε πρόβλημα με τη συνδρομή."
"There was a problem with the subscription: %s","Υπήρξε ένα πρόβλημα με την συνδρομή: %s"
"There was a problem with the un-subscription.","Υπήρξε ένα πρόβλημα με την ακύρωση συνδρομής."
"This email address is already assigned to another user.","Αυτή η διεύθυνση email έχει ήδη συσχετιστεί με έναν άλλο χρήστη."
"This email address is already registered.","Αυτό το διεύθυνση email είναι ήδη καταχωρισμένο."
"Type","Τύπος"
"Unconfirmed","Ανεπιβεβαίωτες"
"Unsubscribe","Διαγραφείτε"
"Unsubscribe Selected","Αποεγγραφή Επιλεγμένων"
"Unsubscribed","Διαγραφήκατε"
"Unsubscription Email Sender","Κατάργησης εγγραφής Αποστολέα Email"
"Unsubscription Email Template","Κατάργησης εγγραφής Προτύπου Email"
"View Newsletter","Προβολή ενημερωτικού δελτίου"
"Website","Ιστοσελίδα"
"You have been unsubscribed.","Έχετε αποεγγραφεί."
"Your subscription has been confirmed.","Η συνδρομή σας έχει επιβεβαιωθεί."
"This email address is already confirmed.","Αυτή η διεύθυνση email έχει ήδη επιβεβαιωθεί."
"Newsletter Subscription Form","Φόρμα Εγγραφής Νέα"
"Default Template","Προεπιλεγμένο Πρότυπο"
